                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.0461,                0.58783,                   1.05,                0.87518,                0.87196,                0.92063,                0.57718,                 1.3212,                0.66465,                 1.2394,             0.00094085,             0.00094085,             0.00094085
                     46,                 1.0475,                0.59067,                 1.0532,                0.88557,                0.86515,                0.92003,                0.58109,                 1.3241,                0.67607,                 1.2375,             0.00092435,             0.00092435,             0.00092435
                     47,                   1.05,                0.59628,                 1.0498,                 0.8584,                0.86916,                0.91778,                0.58176,                 1.3158,                0.68603,                 1.2346,             0.00090785,             0.00090785,             0.00090785
                     48,                 1.0342,                0.57278,                 1.0394,                0.85119,                0.86083,                 0.9157,                 0.5683,                  1.338,                0.68606,                 1.2465,             0.00089134,             0.00089134,             0.00089134
                     49,                 1.0185,                0.56959,                 1.0377,                0.85843,                0.85633,                0.91049,                0.57471,                 1.3181,                0.69569,                  1.226,             0.00087484,             0.00087484,             0.00087484
                     50,                 1.0129,                0.56145,                 1.0299,                0.88248,                0.82603,                0.91999,                0.58869,                 1.3019,                0.66214,                 1.2256,             0.00085834,             0.00085834,             0.00085834
                     51,                 1.0112,                0.57079,                 1.0335,                0.87002,                0.85084,                0.91702,                0.58184,                 1.3212,                0.67555,                 1.2292,             0.00084184,             0.00084184,             0.00084184
                     52,                  1.016,                0.56314,                 1.0409,                0.87961,                 0.8612,                0.91267,                0.57118,                 1.3308,                0.68213,                 1.2313,             0.00082533,             0.00082533,             0.00082533
                     53,                 0.9922,                0.54416,                 1.0261,                 0.8422,                0.88471,                0.91382,                 0.5754,                 1.3381,                0.67984,                 1.2467,             0.00080883,             0.00080883,             0.00080883
                     54,                0.98271,                0.55484,                 1.0222,                0.84727,                0.86617,                0.90698,                0.57056,                 1.3321,                0.67636,                 1.2428,             0.00079233,             0.00079233,             0.00079233
                     55,                0.98943,                0.54295,                 1.0196,                0.83787,                0.88883,                0.91414,                0.57691,                  1.337,                0.69628,                 1.2433,             0.00077582,             0.00077582,             0.00077582
                     56,                0.97732,                0.54431,                 1.0185,                0.84076,                 0.8805,                0.91227,                0.57367,                 1.3325,                0.66755,                 1.2416,             0.00075932,             0.00075932,             0.00075932
                     57,                0.97392,                0.54489,                 1.0189,                0.87519,                0.85025,                0.91663,                0.57428,                 1.3244,                0.65541,                 1.2515,             0.00074282,             0.00074282,             0.00074282
                     58,                0.95792,                0.53328,                 1.0136,                0.84608,                0.86899,                0.91479,                 0.5822,                 1.3321,                0.67765,                 1.2551,             0.00072631,             0.00072631,             0.00072631
                     59,                0.95154,                0.52449,                 1.0079,                 0.8669,                0.86425,                 0.9182,                0.58002,                 1.3312,                0.66115,                  1.244,             0.00070981,             0.00070981,             0.00070981
                     60,                0.95311,                 0.5248,                 1.0111,                0.83939,                0.88972,                0.92063,                0.57472,                 1.3391,                0.66096,                 1.2577,             0.00069331,             0.00069331,             0.00069331
                     61,                0.95274,                0.53093,                 1.0132,                0.86055,                0.86347,                0.91581,                0.57999,                 1.3262,                0.68241,                 1.2443,              0.0006768,              0.0006768,              0.0006768
                     62,                0.93137,                0.51415,                 1.0015,                0.87698,                0.86489,                0.92352,                0.57686,                 1.3411,                0.66259,                 1.2495,              0.0006603,              0.0006603,              0.0006603
                     63,                0.92135,                0.50538,                0.99341,                0.88913,                0.85544,                0.91849,                 0.5736,                 1.3269,                0.65366,                 1.2503,              0.0006438,              0.0006438,              0.0006438
                     64,                0.93307,                0.50697,                0.99976,                0.85736,                 0.8707,                0.91265,                0.57094,                 1.3524,                 0.6813,                 1.2687,             0.00062729,             0.00062729,             0.00062729
                     65,                0.92486,                0.50491,                0.99599,                 0.8708,                0.84581,                0.90744,                0.57396,                 1.3329,                0.67844,                 1.2612,             0.00061079,             0.00061079,             0.00061079
                     66,                0.90494,                 0.5024,                0.98902,                0.88456,                0.85155,                0.91384,                0.57306,                  1.344,                0.66979,                 1.2614,             0.00059429,             0.00059429,             0.00059429
                     67,                  0.911,                0.50338,                0.99461,                 0.8739,                0.84647,                0.91809,                0.57687,                 1.3338,                0.66525,                  1.256,             0.00057778,             0.00057778,             0.00057778
                     68,                0.90064,                0.49415,                0.98573,                0.84979,                 0.8875,                 0.9106,                 0.5744,                 1.3348,                0.66429,                 1.2559,             0.00056128,             0.00056128,             0.00056128
                     69,                0.88935,                0.47955,                0.97696,                0.86994,                0.86406,                0.91262,                0.57372,                 1.3394,                0.69795,                 1.2695,             0.00054478,             0.00054478,             0.00054478
                     70,                0.88444,                0.48276,                0.97789,                0.87915,                0.85313,                 0.9145,                0.58081,                  1.326,                0.68105,                 1.2592,             0.00052827,             0.00052827,             0.00052827
                     71,                 0.8754,                0.48275,                0.97772,                0.87707,                0.86502,                0.91128,                0.57516,                 1.3292,                0.66948,                 1.2618,             0.00051177,             0.00051177,             0.00051177
                     72,                0.87319,                0.47842,                0.97675,                0.86342,                0.85561,                0.90504,                0.57493,                 1.3192,                0.67418,                 1.2497,             0.00049527,             0.00049527,             0.00049527
                     73,                0.87138,                0.47986,                0.97083,                0.85878,                0.87169,                0.91965,                 0.5748,                 1.3424,                0.65301,                 1.2711,             0.00047876,             0.00047876,             0.00047876
                     74,                0.87487,                0.48301,                0.97311,                0.87706,                0.86134,                0.91496,                0.57777,                 1.3337,                0.66472,                 1.2564,             0.00046226,             0.00046226,             0.00046226
                     75,                0.86132,                0.47449,                0.97021,                0.84955,                0.88079,                0.91585,                0.57894,                 1.3376,                0.65169,                 1.2798,             0.00044576,             0.00044576,             0.00044576
                     76,                0.85166,                0.46599,                0.96644,                0.86301,                0.87576,                0.91791,                0.57981,                 1.3366,                0.65825,                 1.2664,             0.00042925,             0.00042925,             0.00042925
                     77,                0.84765,                0.46058,                0.96385,                0.87164,                0.85094,                0.91461,                0.58144,                  1.344,                0.67816,                 1.2763,             0.00041275,             0.00041275,             0.00041275
                     78,                0.85813,                0.46594,                0.96798,                0.88114,                0.85033,                0.92073,                0.57939,                 1.3433,                0.66183,                 1.2781,             0.00039625,             0.00039625,             0.00039625
                     79,                0.83509,                0.45825,                 0.9565,                 0.8833,                0.84913,                0.91563,                0.58023,                 1.3418,                0.66406,                 1.2697,             0.00037974,             0.00037974,             0.00037974
                     80,                0.83759,                0.45394,                0.95612,                0.88037,                0.86253,                0.91883,                 0.5805,                 1.3419,                0.65134,                 1.2709,             0.00036324,             0.00036324,             0.00036324
                     81,                0.83255,                0.45248,                0.95604,                 0.8855,                0.86112,                0.90913,                0.57335,                 1.3265,                0.66924,                 1.2722,             0.00034674,             0.00034674,             0.00034674
                     82,                0.82004,                0.44662,                0.95312,                0.86419,                0.86406,                 0.9187,                  0.579,                 1.3353,                 0.6612,                 1.2781,             0.00033023,             0.00033023,             0.00033023
                     83,                0.81628,                0.44547,                0.95151,                0.85969,                0.88079,                0.91424,                0.57389,                 1.3338,                0.66465,                 1.2725,             0.00031373,             0.00031373,             0.00031373
                     84,                 0.8099,                0.44749,                 0.9523,                0.87907,                0.86371,                0.91589,                0.57586,                 1.3271,                 0.6659,                  1.267,             0.00029723,             0.00029723,             0.00029723
                     85,                0.80561,                0.43183,                0.94633,                0.87051,                 0.8784,                0.92022,                0.57744,                 1.3375,                0.66395,                 1.2755,             0.00028072,             0.00028072,             0.00028072
                     86,                0.80559,                0.44382,                0.94944,                0.87453,                0.87495,                0.92056,                0.57833,                 1.3345,                0.66009,                 1.2736,             0.00026422,             0.00026422,             0.00026422
